"ASSET","BKCLASS","DEP","DEPDOM","EQ","MUTUAL","NETINC","ROA","ROAPTX","ROAPTXQ","ROAQ","ROE","STNAME","TRUST"
111358,"SM",97659,97659,10648,0,1833,1.72819532284159,1.79984990251206,1.82,1.76,17.8,"Kansas",0
366106,"N",315997,315997,48938,0,1315,1.46422054613199,2.10224212250738,2.1,1.46,10.89,"Illinois",0
231249,"NM",183052,183052,19328,0,175,0.293915734358959,0.287197660430755,0.29,0.29,3.56,"Nebraska",1
12413947,"N",10892670,10892670,1279242,0,177947,1.517280112349,1.96830232021322,1.97,1.46,14.98,"Florida",0
204054,"NM",184823,184823,17743,0,1947,1.79076473104038,1.79076473104038,1.65,1.65,22.01,"Florida",1
112608,"NM",102873,102873,9418,0,177,0.609399208125323,0.609399208125323,0.61,0.61,7.39,"North Dakota",0
72456,"SB",58810,58810,4561,1,7,0.0386617511011695,0.0828466095025061,0.08,0.04,0.61,"Minnesota",0
326459,"SM",266103,266103,35103,0,359,0.444970531547667,0.801938534571979,0.8,0.44,4.09,"Virginia",0
764410,"NM",646262,646262,55814,0,1165,0.621883492930079,0.680602105996438,0.68,0.62,8.56,"West Virginia",0
278402,"SB",175185,175185,72187,0,-4380,-6.48603023112036,-8.24081238269059,-8.24,-6.49,-24.13,"Louisiana",0
76966,"NM",66356,66356,7939,0,917,1.54359114853754,1.54359114853754,0.9,0.9,14.58,"Mississippi",0
219898,"SM",193749,193749,24642,0,2836,1.29802129560467,1.75708877074271,1.24,1.05,11.74,"Illinois",0
168781,"N",153602,153602,14880,0,-2744,-1.45585429572518,-1.45585429572518,-1.88,-1.88,-18.23,"Oklahoma",0
52992,"NM",46937,46937,5508,0,61,0.454850495861606,0.484676757885318,0.48,0.45,4.39,"Kansas",0
17008138,"SB",15592844,15592844,1362464,0,114774,1.34774059346077,1.41203111003419,1.1,1.05,17.52,"Missouri",0
252492,"SB",181450,181450,20538,1,524,0.834371653656148,1.03181838085722,1.03,0.83,10.34,"Ohio",0
460393,"NM",412404,412404,35434,0,634,0.557177727830984,0.685486794492377,0.69,0.56,7.2,"Kansas",1
453766,"NM",425668,425668,24331,0,30,0.0263545989324191,-0.0764283369040154,-0.08,0.03,0.51,"Iowa",1
1065164,"NM",935339,935339,120352,0,2805,0.674467997812433,0.674467997812433,0.09,0.09,5.43,"California",0
1257198,"N",1057086,1057086,80903,0,3052,0.982509511823634,1.34596076963782,1.35,0.98,15.22,"Colorado",0
266580,"N",238391,238391,27294,0,2350,3.49533985672825,3.49533985672825,3.5,3.5,35.97,"Texas",0
62860,"NM",43075,43075,17675,0,-1182,-8.1633357793413,-8.15642940389347,-8.16,-8.16,-25.89,"Arizona",0
367063,"NM",310592,310592,43433,0,333,0.39001137533178,0.520015167109041,0.52,0.39,3.08,"Utah",0
298120,"SB",184844,184844,43850,0,315,0.421128624714234,0.541451088918301,0.54,0.42,2.89,"New Jersey",0
827266,"NM",759397,759397,62727,0,2873,1.42384733660509,1.42384733660509,1.42,1.42,18.39,"Texas",0
40282,"SB",34655,34655,5456,1,66,0.663449939686369,0.774024929634097,0.77,0.66,4.83,"Kentucky",0
17265000,"NM",14464000,14464000,1645000,0,129000,3.06595365418895,3.99286987522282,3.99,3.07,32.28,"Utah",0
2198930,"NM",1735485,1735485,224781,0,11562,1.10482402557474,1.46335193977266,1.55,1.14,10.43,"New Jersey",1
742846,"NM",611538,611538,64986,0,655,0.353491572531546,0.430126386729225,0.43,0.35,4.05,"Connecticut",0
334325,"NM",251092,251092,39929,0,703,0.830196477864872,0.816025271983821,0.82,0.83,6.97,"Illinois",0
763205,"N",638883,638883,66318,0,552,0.148216170061945,0.256693222063803,0.25,0.14,1.69,"California",0
532414,"NM",473998,473998,47571,0,-2571,-1.89314865745496,-2.43951828166017,-2.44,-1.89,-21.49,"Georgia",1
568336,"NM",514027,514027,36942,0,391,0.279733287545788,0.332675137362637,0.33,0.28,4.24,"West Virginia",0
81826,"NM",70240,70240,10572,0,403,0.721922772037781,0.913599537814562,1.04,0.82,5.07,"Michigan",0
631348,"NM",530932,530932,48107,0,1446,0.940571921066112,1.20466057940141,1.2,0.94,11.56,"Alabama",0
392984,"N",325301,325301,43891,0,891,0.929278127676661,1.01271499660386,1.01,0.93,8.05,"Wisconsin",0
45546,"N",39117,39117,6243,0,375,1.06930899525215,1.08926942983019,1.12,1.1,8.12,"Illinois",1
758848,"SB",656392,656392,60435,0,692,0.360472755851985,0.360472755851985,0.36,0.36,4.59,"New York",0
86614,"NM",69024,69024,11430,0,178,0.792308377103178,1.01041573933945,1.01,0.79,6.27,"Texas",0
1771784,"NM",1639049,1639049,93390,0,3165,0.716135042931334,0.894885969918934,0.89,0.72,13.44,"Kentucky",0
24874,"NM",22108,22108,2758,0,185,0.732261460881405,0.732261460881405,0.48,0.48,6.74,"Minnesota",0
160399,"SM",141492,141492,15163,0,328,0.80964414535334,0.80964414535334,0.81,0.81,8.59,"Illinois",0
131195,"N",115125,115125,13568,0,320,0.969682277541249,0.969682277541249,0.97,0.97,9.42,"Illinois",0
374688,"SB",259379,259379,64683,0,191,0.205004360367613,0.245790568189441,0.25,0.21,1.18,"California",0
442238,"NM",415868,415868,25527,0,5808,1.48021587500943,1.48021587500943,1.33,1.33,24.82,"North Dakota",0
253693,"NM",225042,225042,16551,0,614,0.965484707917289,0.965484707917289,0.97,0.97,14.75,"Montana",0
879472,"NM",790936,790936,66543,0,2646,1.19021915146281,1.19201842455648,1.19,1.19,16.12,"Oklahoma",1
437786,"SI",379631,379631,45925,0,2274,2.06582195685303,2.06582195685303,2.07,2.07,19.93,"Texas",0
378164,"N",356910,356910,16237,0,333,0.116730747489832,0.116730747489832,-0.88,-0.88,2.21,"Mississippi",0
519818,"NM",460284,460284,44952,0,471,0.36471057389648,0.431303162760805,0.43,0.36,4.16,"Kentucky",0
237387,"SM",214577,214577,20229,0,587,0.964296788209952,1.05300552170797,1.05,0.96,11.64,"Minnesota",0
587550,"N",505589,505589,79370,0,1018,0.334326606661573,0.569471842781107,0.6,0.35,2.56,"California",0
191013,"NM",165641,165641,18435,0,1294,0.78771121800608,1.07077591381197,1.13,0.83,7.34,"Georgia",0
387820,"NM",316366,316366,45033,0,3502,0.89119211068494,1.07849005285059,0.68,0.55,7.78,"Indiana",1
277102,"N",220085,220085,28089,0,1295,0.626782745377059,0.777791406811532,0.91,0.73,6.2,"Connecticut",0
177115,"N",164204,164204,10358,0,320,0.716916140414747,0.750521584496688,0.75,0.72,12.51,"New York",0
210699,"NM",157129,157129,24427,0,389,0.778430082620648,0.924510792212697,0.92,0.78,6.4,"Idaho",1
474447,"SM",376562,376562,44064,0,612,0.529765782064572,0.702891854634693,0.7,0.53,5.59,"Tennessee",0
656340,"NM",540513,540513,52196,0,6699,1.00379250459641,1.00618997885727,1.18,1.17,13.06,"Minnesota",1
76625,"SM",65562,65562,8914,0,-218,-0.373867308088084,-0.264108098374151,-1.31,-1.52,-3.2,"Colorado",0
56806,"NM",48081,48081,5316,0,-248,-1.71340236456435,-1.65122244004387,-1.65,-1.71,-17.67,"Minnesota",0
172255,"NM",153454,153454,18654,0,630,1.43793758666142,1.43793758666142,1.44,1.44,13.83,"Minnesota",0
